neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
Brooklyn,Kensington,40.64749,-73.97237,Private room,1,9,2018-10-19,0.21,6,365,149
Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,1,45,2019-05-21,0.38,2,355,225
Manhattan,Harlem,40.80902,-73.9419,Private room,3,0,,,1,365,150
Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,1,270,2019-07-05,4.64,1,194,89
Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,10,9,2018-11-19,0.1,1,0,80
Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,3,74,2019-06-22,0.59,1,129,200
Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,2,430,2019-06-24,3.47,1,220,79
Manhattan,Upper West Side,40.80178,-73.96723,Private room,2,118,2017-07-21,0.99,1,0,79
Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,1,160,2019-06-09,1.33,4,188,150
Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,5,53,2019-06-22,0.43,1,6,135
Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,2,188,2019-06-23,1.5,1,39,85
Brooklyn,South Slope,40.66829,-73.98779,Private room,4,167,2019-06-24,1.34,3,314,89
Manhattan,Upper West Side,40.79826,-73.96113,Private room,2,113,2019-07-05,0.91,1,333,85
Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,2,148,2019-06-29,1.2,1,46,140
Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,2,198,2019-06-28,1.72,1,321,215
Manhattan,Chelsea,40.74192,-73.99501,Private room,1,260,2019-07-01,2.12,1,12,140
Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,3,53,2019-06-22,4.44,1,21,99
Manhattan,East Harlem,40.79685,-73.94872,Entire home/apt,7,0,,,2,249,190
Brooklyn,Williamsburg,40.71842,-73.95718,Entire home/apt,3,9,2011-12-28,0.07,1,0,299
Brooklyn,Park Slope,40.68069,-73.97706,Private room,2,130,2019-07-01,1.09,6,347,130
Brooklyn,Park Slope,40.67989,-73.97798,Private room,1,39,2019-01-01,0.37,6,364,80
Brooklyn,Park Slope,40.68001,-73.97865,Private room,2,71,2019-07-02,0.61,6,304,110
Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,2,88,2019-06-19,0.73,2,233,120
