neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
Manhattan,Washington Heights,40.84996,-73.93937,Private room,5,1,2016-05-28,0.03,1,0,50
Manhattan,Chinatown,40.7161,-73.99828,Entire home/apt,2,43,2019-01-03,1.32,1,0,140
Queens,Elmhurst,40.73088,-73.87488,Entire home/apt,2,47,2019-06-27,4.18,1,315,125
Manhattan,Harlem,40.82396,-73.94388,Entire home/apt,5,81,2019-06-09,1.48,3,303,450
Queens,Queens Village,40.72085,-73.7496,Entire home/apt,2,33,2019-06-30,3.6,1,282,68
Manhattan,SoHo,40.72615,-74.00225,Entire home/apt,4,1,2016-03-08,0.02,1,0,100
Queens,East Elmhurst,40.76071,-73.88406,Private room,1,104,2019-07-04,8.64,4,351,40
Queens,Woodside,40.74609,-73.90632,Private room,30,0,,,103,230,41
Manhattan,Murray Hill,40.74454,-73.97339,Entire home/apt,29,1,2018-07-12,0.08,96,365,207
Queens,Astoria,40.76604,-73.93108,Entire home/apt,2,6,2019-05-18,1.54,1,309,110
Brooklyn,Bushwick,40.69834,-73.93436,Private room,14,1,2018-01-08,0.05,1,0,50
Queens,Long Island City,40.75529,-73.92961,Private room,1,4,2019-06-15,1.62,1,107,50
Queens,Sunnyside,40.74685,-73.91586,Private room,1,1,2019-04-07,0.32,1,66,50
Manhattan,Midtown,40.75641,-73.97812,Entire home/apt,30,0,,,87,342,219
Queens,Long Island City,40.75683,-73.93184,Private room,1,29,2019-06-19,5.37,2,1,55
Manhattan,Upper East Side,40.76578,-73.95443,Private room,2,61,2019-06-16,2.85,2,287,150
Brooklyn,Windsor Terrace,40.65494,-73.97478,Entire home/apt,3,0,,,1,0,200
Staten Island,Tottenville,40.50943,-74.24442,Entire home/apt,3,1,2019-07-01,1.0,1,128,70
Brooklyn,Bedford-Stuyvesant,40.69517,-73.93808,Entire home/apt,1,1,2016-08-12,0.03,1,0,85
Brooklyn,Williamsburg,40.71318,-73.95876,Entire home/apt,2,20,2019-06-23,2.8,1,263,149
Manhattan,Gramercy,40.73882,-73.9857,Entire home/apt,7,0,,,1,0,150
Brooklyn,Bushwick,40.69842,-73.92378,Private room,5,14,2018-08-30,0.88,2,0,50
Queens,Long Island City,40.75038,-73.94069,Entire home/apt,4,0,,,1,0,200
Brooklyn,Prospect Heights,40.67717,-73.96915,Entire home/apt,30,1,2012-07-11,0.01,1,341,125
Brooklyn,Bushwick,40.7008,-73.9394,Shared room,30,0,,,14,364,45
Queens,Elmhurst,40.74769,-73.87203,Private room,1,1,2019-06-01,0.79,1,359,75
Brooklyn,Clinton Hill,40.68255,-73.96167,Private room,2,12,2018-10-14,0.26,1,0,85
Queens,Cambria Heights,40.69358,-73.73,Private room,2,0,,,2,0,120
Manhattan,Gramercy,40.73502,-73.98612,Entire home/apt,3,0,,,1,0,280
Brooklyn,Prospect Heights,40.675,-73.96406,Private room,2,46,2017-07-31,1.19,1,0,88
Brooklyn,Sunset Park,40.65348,-74.00255,Entire home/apt,1,1,2017-08-13,0.04,1,364,800
Manhattan,Harlem,40.82183,-73.9378,Private room,2,1,2016-06-26,0.03,1,0,60
Manhattan,Harlem,40.82293,-73.94249,Private room,2,13,2019-01-21,1.29,4,238,80
Brooklyn,Fort Greene,40.68795,-73.97332,Entire home/apt,30,15,2019-05-01,0.15,1,189,123
Manhattan,Upper West Side,40.77326,-73.98888,Entire home/apt,1,0,,,1,0,250
Brooklyn,Williamsburg,40.70843,-73.96833,Entire home/apt,6,3,2019-06-06,0.35,1,347,400
Manhattan,Upper East Side,40.77125,-73.95735,Entire home/apt,30,5,2019-03-23,0.09,29,265,105
Manhattan,Upper West Side,40.76934,-73.98464,Entire home/apt,30,1,2012-11-01,0.01,52,365,95
Brooklyn,East Flatbush,40.65073,-73.92738,Entire home/apt,4,9,2019-06-04,1.07,1,365,135
Manhattan,Upper East Side,40.78193,-73.94884,Entire home/apt,30,3,2017-11-30,0.05,9,365,300
Manhattan,Harlem,40.82508,-73.93884,Private room,1,14,2016-10-14,0.38,1,0,70
Manhattan,East Harlem,40.78662,-73.94109,Entire home/apt,1,4,2018-05-19,0.22,1,22,100
Manhattan,West Village,40.73751,-74.00231,Entire home/apt,3,3,2018-12-17,0.44,1,0,168
Queens,Astoria,40.76646,-73.92847,Entire home/apt,2,14,2018-10-07,0.48,1,0,125
Brooklyn,Bedford-Stuyvesant,40.68416,-73.9551,Entire home/apt,3,59,2019-07-06,2.42,2,88,160
Brooklyn,Bedford-Stuyvesant,40.68521,-73.95184,Entire home/apt,2,19,2019-07-07,4.67,1,81,80
Queens,Woodside,40.74626,-73.9009,Private room,5,3,2015-08-07,0.05,1,0,50
Queens,Woodside,40.74808,-73.90404,Private room,1,0,,,1,0,100
Brooklyn,Williamsburg,40.71009,-73.9575,Private room,3,23,2019-04-01,0.42,2,280,85
Manhattan,Upper East Side,40.77594,-73.94461,Private room,1,51,2019-06-02,2.11,1,172,100
Manhattan,Harlem,40.80875,-73.94238,Entire home/apt,31,48,2019-06-30,3.44,4,117,160
Brooklyn,Bedford-Stuyvesant,40.69044,-73.95893,Entire home/apt,4,0,,,1,36,115
Brooklyn,Williamsburg,40.70717,-73.94622,Entire home/apt,3,7,2019-05-30,0.93,3,363,95
Bronx,Morris Heights,40.85018,-73.9167,Private room,2,0,,,1,364,55
Brooklyn,South Slope,40.66631,-73.98268,Private room,20,0,,,1,0,50
Manhattan,Midtown,40.75476,-73.97118,Private room,1,4,2019-06-18,4.0,3,29,135
Manhattan,Upper East Side,40.77581,-73.96285,Entire home/apt,1,0,,,1,135,210
Manhattan,East Village,40.73277,-73.98716,Private room,3,104,2019-06-20,5.67,2,25,92
Brooklyn,Crown Heights,40.6758,-73.94146,Entire home/apt,3,6,2019-05-12,2.17,4,246,100
Queens,Jackson Heights,40.75275,-73.88186,Private room,30,2,2019-02-18,0.38,2,0,59
Brooklyn,Bedford-Stuyvesant,40.68175,-73.93886,Entire home/apt,3,148,2019-06-21,2.86,2,134,135
Brooklyn,Williamsburg,40.7132,-73.96798,Entire home/apt,4,1,2014-09-22,0.02,1,0,190
Brooklyn,Crown Heights,40.66516,-73.94097,Private room,1,13,2019-05-27,1.13,1,301,46
Queens,Sunnyside,40.7362,-73.91783,Private room,2,6,2018-06-23,0.42,1,0,30
Manhattan,Upper East Side,40.78139,-73.94678,Entire home/apt,30,1,2018-12-12,0.14,1,146,150
Brooklyn,Crown Heights,40.67073,-73.91799,Private room,1,62,2018-11-25,1.34,10,159,39
Manhattan,East Village,40.72339,-73.98911,Entire home/apt,3,0,,,1,0,115
Brooklyn,Williamsburg,40.71912,-73.95727,Entire home/apt,3,3,2019-07-01,2.0,1,85,240
Manhattan,Hell's Kitchen,40.76198,-73.99644,Entire home/apt,29,0,,,327,334,184
Brooklyn,Gowanus,40.66933,-73.99158,Entire home/apt,3,70,2019-07-01,3.38,1,99,125
Brooklyn,Bushwick,40.70268,-73.91582,Entire home/apt,3,4,2019-04-24,0.18,1,0,77
Manhattan,Lower East Side,40.72058,-73.98674,Entire home/apt,3,145,2019-06-30,2.63,1,1,239
Brooklyn,Bushwick,40.69037,-73.9184,Private room,2,4,2018-06-04,0.15,1,0,51
Manhattan,Financial District,40.70883,-74.00764,Shared room,10,0,,,1,0,100
Manhattan,East Village,40.72528,-73.98854,Private room,3,0,,,1,0,165
Brooklyn,Williamsburg,40.71361,-73.94804,Private room,1,228,2019-06-28,6.97,3,326,109
Manhattan,East Harlem,40.80604,-73.94233,Private room,3,97,2019-06-24,3.07,2,14,85
Manhattan,Morningside Heights,40.80798,-73.96585,Entire home/apt,7,0,,,1,0,95
Brooklyn,Bedford-Stuyvesant,40.68968,-73.95213,Entire home/apt,1,11,2018-10-29,0.32,3,365,250
Brooklyn,Williamsburg,40.70698,-73.96193,Entire home/apt,4,43,2019-07-08,1.22,1,82,180
Brooklyn,Williamsburg,40.71293,-73.9603,Entire home/apt,3,54,2019-06-26,1.42,1,97,195
Brooklyn,Crown Heights,40.67356,-73.92131,Private room,2,29,2019-06-07,1.02,5,0,60
Manhattan,Upper East Side,40.76105,-73.96294,Private room,1,27,2019-06-29,3.45,1,0,80
Manhattan,Harlem,40.82398,-73.94846,Private room,1,59,2017-09-15,1.19,2,0,75
Brooklyn,Flatbush,40.65168,-73.96269,Private room,2,3,2019-07-07,3.0,1,3,50
Manhattan,Midtown,40.75481,-73.96982,Private room,9,53,2019-05-12,1.79,1,15,119
Manhattan,Washington Heights,40.84864,-73.94046,Private room,1,0,,,1,1,75
Brooklyn,Crown Heights,40.67475,-73.9465,Private room,3,72,2017-07-01,1.22,1,157,65
Queens,Jamaica,40.67057,-73.77956,Entire home/apt,1,7,2019-01-17,0.27,2,304,80
Manhattan,Hell's Kitchen,40.76748,-73.98609,Entire home/apt,30,1,2017-07-31,0.04,96,311,175
Manhattan,Upper East Side,40.7843,-73.95745,Entire home/apt,5,5,2019-06-29,0.71,2,345,450
Manhattan,Financial District,40.70689,-74.00671,Entire home/apt,3,87,2019-06-29,3.28,1,140,145
Manhattan,Upper West Side,40.79954,-73.9626,Private room,12,0,,,1,0,42
Brooklyn,Williamsburg,40.72002,-73.96028,Private room,3,90,2019-06-30,1.89,1,323,70
Queens,Elmhurst,40.74579,-73.88904,Entire home/apt,3,16,2019-07-07,1.42,1,40,60
Brooklyn,Gowanus,40.68202,-73.98151,Private room,2,40,2019-06-13,0.77,1,295,125
Manhattan,West Village,40.73204,-74.00189,Entire home/apt,3,7,2016-08-29,0.08,1,0,315
Manhattan,Morningside Heights,40.8049,-73.96315,Entire home/apt,14,12,2017-06-22,0.19,1,0,60
Manhattan,Harlem,40.81794,-73.94326,Private room,1,0,,,1,0,75
Bronx,Longwood,40.82756,-73.8871,Private room,1,6,2019-06-23,2.95,2,89,70
Manhattan,Upper East Side,40.78056,-73.95182,Entire home/apt,4,9,2019-07-05,0.47,1,7,147
Brooklyn,Williamsburg,40.71571,-73.94722,Entire home/apt,3,1,2019-02-11,0.2,1,0,175
Brooklyn,Clinton Hill,40.68933,-73.96082,Private room,3,1,2018-10-18,0.11,1,189,45
Brooklyn,Williamsburg,40.71782,-73.96318,Entire home/apt,1,0,,,4,179,1000
Brooklyn,Greenpoint,40.73487,-73.95627,Entire home/apt,3,9,2017-04-20,0.16,1,0,185
Manhattan,East Harlem,40.7977,-73.93736,Private room,28,1,2016-06-27,0.03,1,0,65
Brooklyn,Prospect Heights,40.67273,-73.96361,Entire home/apt,2,34,2017-12-26,0.64,1,0,125
Brooklyn,Williamsburg,40.71563,-73.94085,Private room,4,5,2019-04-30,1.24,1,0,59
Manhattan,Washington Heights,40.85131,-73.93235,Private room,30,0,,,8,358,50
Manhattan,Financial District,40.70761,-74.01078,Entire home/apt,2,3,2019-05-19,1.11,327,340,235
Manhattan,Murray Hill,40.74936,-73.97836,Private room,1,25,2019-07-03,3.3,3,32,153
Manhattan,Washington Heights,40.84989,-73.93044,Private room,2,0,,,1,90,95
Manhattan,Washington Heights,40.83341,-73.94154,Entire home/apt,3,6,2019-06-19,0.95,6,46,250
Brooklyn,Prospect-Lefferts Gardens,40.66289,-73.96175,Entire home/apt,2,125,2019-06-30,2.79,2,229,125
Brooklyn,Williamsburg,40.70572,-73.93387,Entire home/apt,30,0,,,1,262,110
Manhattan,Harlem,40.83046,-73.94142,Private room,1,7,2017-08-21,0.25,1,0,30
Brooklyn,Williamsburg,40.71307,-73.95502,Entire home/apt,10,2,2017-01-07,0.05,2,0,80
Queens,Sunnyside,40.73891,-73.92642,Private room,3,3,2018-10-10,0.29,2,112,50
Brooklyn,Crown Heights,40.67791,-73.95337,Entire home/apt,3,0,,,2,0,80
Manhattan,Theater District,40.75856,-73.98221,Entire home/apt,30,0,,,121,363,239
Bronx,Pelham Gardens,40.86506,-73.84295,Entire home/apt,2,37,2019-05-01,1.81,1,35,40
Manhattan,Midtown,40.75249,-73.96866,Entire home/apt,4,3,2016-07-10,0.06,1,0,120
Brooklyn,Bedford-Stuyvesant,40.69181,-73.9331,Private room,3,16,2019-06-18,1.24,3,360,99
Brooklyn,Williamsburg,40.70996,-73.95121,Entire home/apt,6,1,2019-07-03,1.0,1,7,100
Manhattan,Upper East Side,40.77673,-73.95078,Private room,1,7,2017-04-11,0.2,1,0,100
Brooklyn,Crown Heights,40.67083,-73.94944,Private room,1,3,2015-07-15,0.05,1,0,44
Manhattan,Upper West Side,40.77221,-73.98085,Private room,10,0,,,1,0,92
Brooklyn,Downtown Brooklyn,40.69733,-73.98427,Private room,1,0,,,1,189,90
Brooklyn,Williamsburg,40.71809,-73.95283,Entire home/apt,5,1,2016-11-13,0.03,1,0,200
Queens,Ridgewood,40.70365,-73.89572,Private room,1,0,,,1,0,100
Brooklyn,Bedford-Stuyvesant,40.68632,-73.95093,Private room,2,2,2019-01-01,0.04,1,0,38
Manhattan,Harlem,40.81614,-73.94429,Private room,6,8,2018-12-25,0.22,2,296,90
Queens,Ridgewood,40.7025,-73.90985,Private room,1,0,,,1,0,23
Manhattan,Chelsea,40.74451,-73.99236,Entire home/apt,30,0,,,87,350,270
Brooklyn,Williamsburg,40.70046,-73.95133,Private room,2,26,2019-03-01,0.68,2,241,45
Manhattan,Morningside Heights,40.80514,-73.96349,Private room,8,0,,,1,0,70
Manhattan,Harlem,40.81022,-73.94266,Shared room,1,16,2019-05-26,0.27,1,365,115
Manhattan,East Harlem,40.79901,-73.94334,Entire home/apt,2,2,2019-06-09,1.87,1,138,319
Manhattan,Upper East Side,40.7829,-73.94694,Entire home/apt,2,53,2019-05-27,1.19,1,0,170
Brooklyn,East Flatbush,40.65539,-73.94961,Private room,1,3,2019-06-30,3.0,1,87,175
Brooklyn,Sunset Park,40.63853,-74.01628,Private room,1,21,2019-05-31,1.08,8,130,51
Brooklyn,Bushwick,40.68863,-73.90874,Private room,1,1,2017-01-01,0.03,1,66,80
Manhattan,Hell's Kitchen,40.76212,-73.9882,Entire home/apt,4,112,2019-07-01,2.97,1,262,170
Manhattan,East Village,40.73233,-73.98695,Private room,5,64,2019-06-29,0.88,1,316,95
Brooklyn,Bushwick,40.69316,-73.90445,Private room,2,29,2019-05-15,2.93,8,348,65
Brooklyn,Williamsburg,40.71661,-73.9551,Private room,2,27,2019-03-16,1.02,2,0,60
Manhattan,Financial District,40.70939,-74.00121,Entire home/apt,2,285,2019-07-02,4.02,1,294,420
Brooklyn,Flatbush,40.65424,-73.96008,Private room,1,43,2018-11-01,1.37,4,188,73
Brooklyn,Borough Park,40.63324,-73.99461,Private room,3,0,,,1,0,103
Manhattan,Hell's Kitchen,40.75767,-73.99034,Entire home/apt,1,195,2019-06-25,2.83,1,69,190
Manhattan,SoHo,40.72249,-74.00385,Private room,3,14,2019-06-22,1.37,3,0,195
Brooklyn,Bedford-Stuyvesant,40.67924,-73.9102,Private room,4,25,2019-01-14,1.67,2,0,55
Brooklyn,Prospect-Lefferts Gardens,40.66171,-73.94417,Private room,1,85,2019-05-29,8.64,2,0,49
Manhattan,Upper East Side,40.7848,-73.95687,Private room,3,7,2019-06-29,1.39,1,131,42
Manhattan,Washington Heights,40.8407,-73.93886,Private room,2,4,2017-05-08,0.13,1,0,100
Queens,Woodside,40.74434,-73.91108,Entire home/apt,2,0,,,1,0,100
Brooklyn,Bedford-Stuyvesant,40.69372,-73.94578,Entire home/apt,2,59,2019-06-14,1.38,1,19,150
Manhattan,Chelsea,40.75055,-73.99482,Private room,1,0,,,20,351,149
Brooklyn,Bedford-Stuyvesant,40.69684,-73.94257,Private room,2,0,,,7,168,77
Queens,Flushing,40.75026,-73.82873,Private room,7,59,2019-06-12,1.67,12,120,40
Manhattan,Upper East Side,40.77371,-73.95007,Entire home/apt,1,0,,,1,0,250
Brooklyn,Williamsburg,40.70517,-73.94288,Private room,1,2,2019-06-02,1.0,3,89,125
Brooklyn,Bedford-Stuyvesant,40.69389,-73.9354,Private room,1,130,2019-07-01,5.25,4,69,65
Brooklyn,Bedford-Stuyvesant,40.68174,-73.91365,Entire home/apt,2,40,2019-07-01,0.99,3,354,125
Manhattan,Washington Heights,40.83503,-73.94166,Private room,2,73,2019-06-18,2.13,2,136,60
Manhattan,Harlem,40.80464,-73.95637,Private room,2,3,2016-05-21,0.07,1,0,84
Manhattan,Chelsea,40.74277,-74.00204,Entire home/apt,2,15,2019-07-05,2.09,1,365,315
Manhattan,Upper West Side,40.80229,-73.96719,Entire home/apt,1,2,2016-11-23,0.05,1,0,80
Brooklyn,Bushwick,40.68636,-73.90731,Private room,4,2,2019-06-02,0.18,2,0,50
Manhattan,Upper West Side,40.79973,-73.96152,Entire home/apt,2,0,,,1,0,300
Manhattan,East Harlem,40.79463,-73.94604,Entire home/apt,2,2,2019-04-18,0.7,1,8,100
Brooklyn,Gravesend,40.59609,-73.97486,Entire home/apt,5,0,,,3,23,120
Brooklyn,Flatbush,40.6536,-73.95811,Private room,2,23,2019-04-01,0.42,1,0,50
Manhattan,Midtown,40.74874,-73.98495,Private room,1,9,2018-09-26,0.48,3,0,199
Manhattan,Upper West Side,40.78504,-73.97959,Private room,3,40,2019-05-16,1.48,2,113,110
Manhattan,Morningside Heights,40.80442,-73.96338,Entire home/apt,5,3,2016-01-02,0.06,1,0,145
Queens,Rosedale,40.65283,-73.73887,Private room,2,61,2019-06-29,2.39,2,171,38
Brooklyn,Williamsburg,40.71784,-73.95611,Private room,4,1,2018-12-31,0.16,1,5,225
